,Compound name,Compound name_ori,Ratio,Tumor vs Normal_p.value
466,propionylcarnitine,propionylcarnitine,0.8881,0.1374154636 
467,prostaglandin A2,prostaglandin A2,0.5204,0.1253235705 
468,prostaglandin E2,prostaglandin E2,0.716,0.4513809470 
469,Pseudouridine,pseudouridine,0.3211,0.0000000000 
470,Putrescine,putrescine,4.4311,0.0000000475 
471,pyridoxal,pyridoxal,0.4362,0.0000000000 
472,4-Pyridoxic acid,pyridoxate,0.6611,0.0191020687 
473,Pyroglutamine,pyroglutamine,3.6813,0.0000000004 
474,Pyrophosphate,pyrophosphate,0.6754,0.0000155124 
475,quebrachitol,quebrachitol,1.2396,0.2618970976 
476,Quinic acid,quinate,0.4496,0.0000041200 
477,quinidine,quinidine,0.5122,0.4740492969 
478,Quinolinate,quinolinate,1.7254,0.0339856658 
479,ranitidine,ranitidine,0.1829,
480,Xylitol,ribitol,1.1761,0.3575885082 
481,riboflavin,riboflavin,0.4592,0.0000000000 
482,D-Ribose,ribose,1.2079,0.1010179793 
483,D-Ribulose,ribulose,1.6454,0.0000000003 
484,Saccharopine,saccharopine,4.6618,0.0029487661 
485,S-Adenosyl-L-homocysteine,S-adenosylhomocysteine,2.102,0.0000000000 
486,S-Adenosyl-L-methionine,S-adenosylmethionine,1.2514,0.0008025327 
487,salicylate,salicylate,,
